source_id,survey,band,mjd,flux,flux_error,observation_id
scale-000300,qualification-synthetic,g,62000.0,19.583221165778763,1.0026935435956543,000300-0000
scale-000300,qualification-synthetic,g,62001.0,19.994141413232523,1.0576620194187902,000300-0001
scale-000300,qualification-synthetic,g,62002.0,22.656040334644867,1.1981114674768854,000300-0002
scale-000300,qualification-synthetic,g,62003.0,20.542848513580953,1.1411065517157266,000300-0003
scale-000300,qualification-synthetic,g,62004.0,18.236734649160436,1.1764173894641865,000300-0004
scale-000300,qualification-synthetic,g,62005.0,19.92910119623551,1.0847041669230983,000300-0005
scale-000300,qualification-synthetic,g,62006.0,19.44554524037715,0.8941086970026428,000300-0006
scale-000300,qualification-synthetic,g,62007.0,21.824748439867825,1.1506368154626376,000300-0007
scale-000300,qualification-synthetic,g,62008.0,21.2399612146867,0.9420605721362642,000300-0008
scale-000300,qualification-synthetic,g,62009.0,19.735809231730887,1.1485980228232646,000300-0009
scale-000300,qualification-synthetic,g,62010.0,21.188440234674957,1.0120629505686771,000300-0010
scale-000300,qualification-synthetic,g,62011.0,19.223959623871114,0.9295457613023757,000300-0011
scale-000300,qualification-synthetic,g,62012.0,16.969370899397948,0.8831244168231024,000300-0012
scale-000300,qualification-synthetic,g,62013.0,18.994732149001383,0.8671939570676076,000300-0013
scale-000300,qualification-synthetic,g,62014.0,22.571012515987068,1.071520716972095,000300-0014
scale-000300,qualification-synthetic,g,62015.0,24.52328255238996,1.1517879404179474,000300-0015
scale-000300,qualification-synthetic,g,62016.0,25.494992796162798,1.1558228010751244,000300-0016
scale-000300,qualification-synthetic,g,62017.0,23.79709833740323,1.0076943330761456,000300-0017
scale-000300,qualification-synthetic,g,62018.0,26.388962517272994,1.0481517832986527,000300-0018
scale-000300,qualification-synthetic,g,62019.0,24.422230774526433,0.8975647544275148,000300-0019
scale-000300,qualification-synthetic,g,62020.0,21.63739167382326,1.0752691256550755,000300-0020
scale-000300,qualification-synthetic,g,62021.0,20.8980058209039,1.1368770362258382,000300-0021
scale-000300,qualification-synthetic,g,62022.0,20.56010236862265,0.8408417181168782,000300-0022
scale-000300,qualification-synthetic,g,62023.0,21.343467105896416,1.0595345929042577,000300-0023
scale-000300,qualification-synthetic,g,62024.0,20.50010207755836,1.1090519336622218,000300-0024
scale-000300,qualification-synthetic,g,62025.0,20.853604754312,1.0396184902191121,000300-0025
