source_id,survey,band,mjd,flux,flux_error,observation_id
scale-000100,qualification-synthetic,g,62000.0,20.75065114431087,1.0447503112948802,000100-0000
scale-000100,qualification-synthetic,g,62001.0,19.751295939167886,1.0371054795950752,000100-0001
scale-000100,qualification-synthetic,g,62002.0,20.351275462250292,1.1798122519949388,000100-0002
scale-000100,qualification-synthetic,g,62003.0,20.393025347424118,1.154978091035238,000100-0003
scale-000100,qualification-synthetic,g,62004.0,20.562880094074725,1.173644847789839,000100-0004
scale-000100,qualification-synthetic,g,62005.0,19.148981130176008,0.8920906603557767,000100-0005
scale-000100,qualification-synthetic,g,62006.0,19.13601158490554,0.9879438766432538,000100-0006
scale-000100,qualification-synthetic,g,62007.0,20.157676618795758,1.0479037671927205,000100-0007
scale-000100,qualification-synthetic,g,62008.0,19.311098952086013,1.1139357904003677,000100-0008
scale-000100,qualification-synthetic,g,62009.0,23.74357586847399,0.9832310690196997,000100-0009
scale-000100,qualification-synthetic,g,62010.0,19.984813908520167,0.87800327708156,000100-0010
scale-000100,qualification-synthetic,g,62011.0,18.41865468621223,1.0011847863110757,000100-0011
scale-000100,qualification-synthetic,g,62012.0,21.486543562371455,1.0981580524260264,000100-0012
scale-000100,qualification-synthetic,g,62013.0,21.78999462147427,1.0315154760870882,000100-0013
scale-000100,qualification-synthetic,g,62014.0,22.14665166472471,0.8144048141890935,000100-0014
scale-000100,qualification-synthetic,g,62015.0,24.518496681276556,1.0287010669020205,000100-0015
scale-000100,qualification-synthetic,g,62016.0,25.60001671816084,0.8987977652736938,000100-0016
scale-000100,qualification-synthetic,g,62017.0,26.522787905475216,0.9900636288459754,000100-0017
scale-000100,qualification-synthetic,g,62018.0,25.952692353081996,0.9510414468814149,000100-0018
scale-000100,qualification-synthetic,g,62019.0,26.62788837278293,1.1374311686675003,000100-0019
scale-000100,qualification-synthetic,g,62020.0,23.68783673513902,1.0981380164304453,000100-0020
scale-000100,qualification-synthetic,g,62021.0,23.32299736950115,1.0108911807226941,000100-0021
scale-000100,qualification-synthetic,g,62022.0,22.18002043260036,1.0153423982269179,000100-0022
scale-000100,qualification-synthetic,g,62023.0,20.222619041572095,0.8630486640038928,000100-0023
scale-000100,qualification-synthetic,g,62024.0,19.835146500651344,0.9816580139704851,000100-0024
scale-000100,qualification-synthetic,g,62025.0,19.653270028409047,0.8744505273184883,000100-0025
scale-000100,qualification-synthetic,g,62026.0,21.522806663019637,0.8676220766708349,000100-0026
scale-000100,qualification-synthetic,g,62027.0,22.183412752278144,1.1050673735318866,000100-0027
scale-000100,qualification-synthetic,g,62028.0,23.77480474477965,0.9313879345435706,000100-0028
scale-000100,qualification-synthetic,g,62029.0,19.521580913924907,0.9282911432463226,000100-0029
scale-000100,qualification-synthetic,g,62030.0,20.61208477083774,0.8165244038564202,000100-0030
scale-000100,qualification-synthetic,g,62031.0,18.61261744442911,0.9469158647240797,000100-0031
scale-000101,qualification-synthetic,g,62000.0,18.516723419932767,0.8667871466735593,000101-0000
scale-000101,qualification-synthetic,g,62001.0,17.57934446240612,0.9878288607782232,000101-0001
scale-000101,qualification-synthetic,g,62002.0,20.214053974472968,0.938086021323309,000101-0002
scale-000101,qualification-synthetic,g,62003.0,19.9694363322998,1.1033842385940162,000101-0003
scale-000101,qualification-synthetic,g,62004.0,18.912363254436585,0.8202358142172242,000101-0004
scale-000101,qualification-synthetic,g,62005.0,19.700850270232937,1.0654900167991304,000101-0005
scale-000101,qualification-synthetic,g,62006.0,20.981838051386966,1.1905753833946602,000101-0006
scale-000101,qualification-synthetic,g,62007.0,19.23346954916878,1.1225680135185045,000101-0007
scale-000101,qualification-synthetic,g,62008.0,20.775994993553375,0.8742123252627335,000101-0008
scale-000101,qualification-synthetic,g,62009.0,20.518371455811852,0.8262914409991418,000101-0009
scale-000101,qualification-synthetic,g,62010.0,20.822401801115845,0.8934403490374154,000101-0010
scale-000101,qualification-synthetic,g,62011.0,20.15183669598497,1.113586569342735,000101-0011
scale-000101,qualification-synthetic,g,62012.0,20.89054437112057,1.012448140884278,000101-0012
scale-000101,qualification-synthetic,g,62013.0,21.007597279781642,1.0106186489456703,000101-0013
scale-000101,qualification-synthetic,g,62014.0,20.269628188479007,0.829033987602581,000101-0014
scale-000101,qualification-synthetic,g,62015.0,20.254823214652426,1.1270216931532575,000101-0015
scale-000101,qualification-synthetic,g,62016.0,19.54104576569227,1.1080364177323516,000101-0016
scale-000101,qualification-synthetic,g,62017.0,19.68027114348637,0.9889171221064269,000101-0017
scale-000101,qualification-synthetic,g,62018.0,21.40007471630158,0.998630786716028,000101-0018
scale-000101,qualification-synthetic,g,62019.0,19.208972833089312,1.0687258492941496,000101-0019
scale-000101,qualification-synthetic,g,62020.0,20.234426167291005,1.0136731955611604,000101-0020
scale-000101,qualification-synthetic,g,62021.0,19.59730088496668,1.0345142714808002,000101-0021
